Language_ID,Parameter_ID,Value,Name,Family
abi,44A,No gender distinctions,Abipón,Guaicuruan
abk,44A,In 3rd person + 1st and/or 2nd person,Abkhaz,Northwest Caucasian
abn,44A,No gender distinctions,Arabana,Pama-Nyungan
abu,44A,3rd person singular only,Abun,West Papuan
ace,44A,No gender distinctions,Acehnese,Austronesian
acm,44A,No gender distinctions,Achumawi,Hokan
adz,44A,No gender distinctions,Adzera,Austronesian
aeg,44A,In 3rd person + 1st and/or 2nd person,Arabic (Egyptian),Afro-Asiatic
ala,44A,3rd person singular only,Alamblak,Sepik
alb,44A,"3rd person only, but also non-singular",Albanian,Indo-European
ame,44A,No gender distinctions,Amele,Trans-New Guinea
amh,44A,In 3rd person + 1st and/or 2nd person,Amharic,Afro-Asiatic
amu,44A,No gender distinctions,Amuesha,Arawakan
ana,44A,No gender distinctions,Araona,Tacanan
ani,44A,In 3rd person + 1st and/or 2nd person,//Ani,Khoe-Kwadi
anj,44A,No gender distinctions,Anejom,Austronesian
apu,44A,3rd person singular only,Apurinã,Arawakan
ara,44A,3rd person singular only,Lokono,Arawakan
arm,44A,No gender distinctions,Armenian (Eastern),Indo-European
arp,44A,"3rd person only, but also non-singular",Arapesh (Mountain),Torricelli
asm,44A,No gender distinctions,Asmat,Trans-New Guinea
ata,44A,No gender distinctions,Atayal,Austronesian
au,44A,"3rd person only, but also non-singular",Au,Torricelli
awp,44A,No gender distinctions,Awa Pit,Barbacoan
awt,44A,3rd person singular only,Awtuw,Sepik
aym,44A,No gender distinctions,Aymara (Central),Aymaran
baa,44A,No gender distinctions,Barai,Trans-New Guinea
bab,44A,"3rd person only, but also non-singular",Babungo,Niger-Congo
bag,44A,No gender distinctions,Bagirmi,Central Sudanic
bam,44A,No gender distinctions,Bambara,Mande
bar,44A,No gender distinctions,Bari,Eastern Sudanic
baw,44A,No gender distinctions,Bawm,Sino-Tibetan
bej,44A,In 3rd person + 1st and/or 2nd person,Beja,Afro-Asiatic
bkr,44A,No gender distinctions,Batak (Karo),Austronesian
bln,44A,3rd person singular only,Bilin,Afro-Asiatic
bma,44A,In 3rd person + 1st and/or 2nd person,Berber (Middle Atlas),Afro-Asiatic
bnj,44A,3rd person singular only,Bandjalang,Pama-Nyungan
brh,44A,No gender distinctions,Brahui,Dravidian
bri,44A,No gender distinctions,Bribri,Chibchan
brm,44A,3rd person singular only,Burmese,Sino-Tibetan
brn,44A,1st or 2nd person but not 3rd,Burunge,Afro-Asiatic
bro,44A,No gender distinctions,Broken,other
brr,44A,No gender distinctions,Bororo,Bororoan
brs,44A,3rd person singular only,Barasano,Tucanoan
bya,44A,No gender distinctions,Byansi,Sino-Tibetan
cah,44A,No gender distinctions,Cahuilla,Uto-Aztecan
cap,44A,No gender distinctions,Capanahua,Panoan
car,44A,"3rd person only, but also non-singular",Carib,Cariban
cav,44A,No gender distinctions,Cavineña,Tacanan
cax,44A,"3rd person only, but also non-singular",Campa (Axininca),Arawakan
cba,44A,No gender distinctions,Chumash (Barbareño),Chumash
cbo,44A,No gender distinctions,Chácobo,Panoan
cha,44A,No gender distinctions,Chamorro,Austronesian
chk,44A,No gender distinctions,Chukchi,Chukotko-Kamchatkan
chr,44A,No gender distinctions,Chrau,Austro-Asiatic
ckl,44A,3rd person singular only,Chinook (Lower),Penutian
cle,44A,No gender distinctions,Chinantec (Lealao),Oto-Manguean
cmn,44A,No gender distinctions,Comanche,Uto-Aztecan
cmx,44A,No gender distinctions,Comox,Salishan
cnl,44A,No gender distinctions,Canela,Macro-Ge
coo,44A,No gender distinctions,Coos (Hanis),Oregon Coast
cop,44A,In 3rd person + 1st and/or 2nd person,Coptic,Afro-Asiatic
cor,44A,No gender distinctions,Cora,Uto-Aztecan
cpn,44A,No gender distinctions,Chepang,Sino-Tibetan
cre,44A,3rd person singular only,Cree (Plains),Algic
cri,44A,No gender distinctions,Crimean Tatar,Altaic
cub,44A,3rd person singular only,Cubeo,Tucanoan
dag,44A,No gender distinctions,Daga,Dagan
dga,44A,3rd person non-singular only,Dagaare,Niger-Congo
dgr,44A,No gender distinctions,Dagur,Altaic
dio,44A,"3rd person only, but also non-singular",Diola-Fogny,Niger-Congo
diz,44A,3rd person singular only,Dizi,Afro-Asiatic
dni,44A,No gender distinctions,Dani (Lower Grand Valley),Trans-New Guinea
don,44A,No gender distinctions,Dong (Southern),Tai-Kadai
doy,44A,No gender distinctions,Doyayo,Niger-Congo
dre,44A,"3rd person only, but also non-singular",Drehu,Austronesian
dum,44A,In 3rd person + 1st and/or 2nd person,Dumo,Skou
dut,44A,3rd person singular only,Dutch,Indo-European
eka,44A,No gender distinctions,Ekari,Trans-New Guinea
eng,44A,3rd person singular only,English,Indo-European
epe,44A,No gender distinctions,Epena Pedee,Choco
err,44A,No gender distinctions,Erromangan,Austronesian
eve,44A,No gender distinctions,Evenki,Altaic
ewe,44A,No gender distinctions,Ewe,Niger-Congo
fij,44A,No gender distinctions,Fijian,Austronesian
fin,44A,No gender distinctions,Finnish,Uralic
fre,44A,3rd person singular only,French,Indo-European
fua,44A,"3rd person only, but also non-singular",Fulfulde (Adamawa),Niger-Congo
gar,44A,No gender distinctions,Garo,Sino-Tibetan
geo,44A,No gender distinctions,Georgian,Kartvelian
ger,44A,3rd person singular only,German,Indo-European
gmw,44A,No gender distinctions,Gumawana,Austronesian
god,44A,"3rd person only, but also non-singular",Godoberi,Nakh-Daghestanian
goo,44A,No gender distinctions,Gooniyandi,Bunuban
grb,44A,"3rd person only, but also non-singular",Grebo,Niger-Congo
grk,44A,3rd person singular only,Greek (Modern),Indo-European
grw,44A,No gender distinctions,Greenlandic (West),Eskimo-Aleut
gua,44A,No gender distinctions,Guaraní,Tupian
gud,44A,3rd person singular only,Gude,Afro-Asiatic
guu,44A,No gender distinctions,Guugu Yimidhirr,Pama-Nyungan
ham,44A,"3rd person only, but also non-singular",Hamtai,Trans-New Guinea
hat,44A,No gender distinctions,Hatam,West Papuan
hau,44A,In 3rd person + 1st and/or 2nd person,Hausa,Afro-Asiatic
heb,44A,In 3rd person + 1st and/or 2nd person,Hebrew (Modern),Afro-Asiatic
hin,44A,No gender distinctions,Hindi,Indo-European
hix,44A,"3rd person only, but also non-singular",Hixkaryana,Cariban
hlu,44A,"3rd person only, but also non-singular",Halkomelem (Upriver),Salishan
hmo,44A,No gender distinctions,Hmong Njua,Hmong-Mien
hmr,44A,No gender distinctions,Hamer,Afro-Asiatic
hmu,44A,"3rd person only, but also non-singular",Huitoto (Muinane),Huitotoan
hua,44A,No gender distinctions,Hua,Trans-New Guinea
hun,44A,No gender distinctions,Hungarian,Uralic
hzb,44A,No gender distinctions,Hunzib,Nakh-Daghestanian
igb,44A,No gender distinctions,Igbo,Niger-Congo
ijo,44A,3rd person singular only,Ijo (Kolokuma),Ijoid
