Language_ID,Parameter_ID,Value,Name,Family
aar,A86,Genitive-Noun,Aari,Afro-Asiatic
aba,A86,Genitive-Noun,Abau,Sepik
abi,A86,No_dominant_genitive_noun_order,Abipón,Guaicuruan
abk,A86,Genitive-Noun,Abkhaz,Northwest Caucasian
abn,A86,No_dominant_genitive_noun_order,Arabana,Pama-Nyungan
abo,A86,Noun-Genitive,Arbore,Afro-Asiatic
abu,A86,Genitive-Noun,Abun,West Papuan
abv,A86,Genitive-Noun,Abui,Timor-Alor-Pantar
ace,A86,Noun-Genitive,Acehnese,Austronesian
acg,A86,Genitive-Noun,Achagua,Arawakan
acl,A86,Noun-Genitive,Acholi,Eastern Sudanic
acn,A86,Genitive-Noun,Achang,Sino-Tibetan
aco,A86,Genitive-Noun,Acoma,Keresan
acu,A86,Genitive-Noun,Achuar,Jivaroan
adg,A86,Genitive-Noun,Adang,Timor-Alor-Pantar
adi,A86,Genitive-Noun,Adioukrou,Niger-Congo
adn,A86,Genitive-Noun,Adynyamathanha,Pama-Nyungan
adz,A86,Genitive-Noun,Adzera,Austronesian
aeg,A86,Noun-Genitive,Arabic (Egyptian),Afro-Asiatic
aga,A86,Genitive-Noun,Agarabi,Trans-New Guinea
agb,A86,Noun-Genitive,Leggbó,Niger-Congo
agc,A86,Noun-Genitive,Agta (Central),Austronesian
agd,A86,Noun-Genitive,Agta (Dupaningan),Austronesian
agh,A86,Noun-Genitive,Aghem,Niger-Congo
agm,A86,Genitive-Noun,Angami,Sino-Tibetan
aja,A86,Noun-Genitive,Aja,Central Sudanic
ajg,A86,No_dominant_genitive_noun_order,Ajagbe,Niger-Congo
akh,A86,Genitive-Noun,Akha,Sino-Tibetan
akn,A86,Genitive-Noun,Akan,Niger-Congo
ala,A86,Genitive-Noun,Alamblak,Sepik
alb,A86,Noun-Genitive,Albanian,Indo-European
alk,A86,No_dominant_genitive_noun_order,Arop-Lokep,Austronesian
all,A86,Genitive-Noun,Ala'ala,Austronesian
aln,A86,Genitive-Noun,Alune,Austronesian
als,A86,Genitive-Noun,Alsea,Oregon Coast
aly,A86,Noun-Genitive,Alyawarra,Pama-Nyungan
amb,A86,Genitive-Noun,Ambulas,Sepik
amc,A86,Genitive-Noun,Amahuaca,Panoan
ame,A86,Genitive-Noun,Amele,Trans-New Guinea
amh,A86,Genitive-Noun,Amharic,Afro-Asiatic
ami,A86,Noun-Genitive,Amis,Austronesian
aml,A86,Noun-Genitive,Ambae (Lolovoli Northeast),Austronesian
amm,A86,Genitive-Noun,Ama,Left May
amn,A86,Genitive-Noun,Amanab,Border
amq,A86,Genitive-Noun,Ambai,Austronesian
amr,A86,Noun-Genitive,Arabic (Moroccan),Afro-Asiatic
ams,A86,Noun-Genitive,Arabic (Modern Standard),Afro-Asiatic
amt,A86,Genitive-Noun,Amdo (Themchen),Sino-Tibetan
amx,A86,Genitive-Noun,Anamuxra,Trans-New Guinea
ana,A86,Genitive-Noun,Araona,Tacanan
anc,A86,Noun-Genitive,Angas,Afro-Asiatic
ang,A86,Genitive-Noun,Anggor,Senagi
ani,A86,Genitive-Noun,//Ani,Khoe-Kwadi
anj,A86,Noun-Genitive,Anejom,Austronesian
ann,A86,No_dominant_genitive_noun_order,Anindilyakwa,Gunwinyguan
ano,A86,Genitive-Noun,Anong,Sino-Tibetan
anu,A86,Genitive-Noun,Anufo,Niger-Congo
any,A86,Noun-Genitive,Anywa,Eastern Sudanic
ao,A86,Genitive-Noun,Ao,Sino-Tibetan
aoj,A86,Noun-Genitive,Mufian,Torricelli
api,A86,Genitive-Noun,Apinayé,Macro-Ge
apl,A86,Genitive-Noun,Apalaí,Cariban
apt,A86,Genitive-Noun,Apatani,Sino-Tibetan
apu,A86,Genitive-Noun,Apurinã,Arawakan
ara,A86,Genitive-Noun,Lokono,Arawakan
arc,A86,Genitive-Noun,Archi,Nakh-Daghestanian
arg,A86,Noun-Genitive,Arabic (Gulf),Afro-Asiatic
ari,A86,Genitive-Noun,Aribwatsa,Austronesian
arj,A86,Noun-Genitive,Arabic (Kuwaiti),Afro-Asiatic
arm,A86,Genitive-Noun,Armenian (Eastern),Indo-European
aro,A86,Noun-Genitive,Arosi,Austronesian
arp,A86,No_dominant_genitive_noun_order,Arapesh (Mountain),Torricelli
arq,A86,Noun-Genitive,Arabic (Iraqi),Afro-Asiatic
arw,A86,Genitive-Noun,Armenian (Western),Indo-European
asm,A86,Genitive-Noun,Asmat,Trans-New Guinea
ass,A86,Genitive-Noun,Assamese,Indo-European
asy,A86,Noun-Genitive,Arabic (Syrian),Afro-Asiatic
ata,A86,Noun-Genitive,Atayal,Austronesian
ath,A86,Genitive-Noun,Athpare,Sino-Tibetan
au,A86,No_dominant_genitive_noun_order,Au,Torricelli
ava,A86,Genitive-Noun,Avar,Nakh-Daghestanian
avo,A86,No_dominant_genitive_noun_order,Avokaya,Central Sudanic
awa,A86,Genitive-Noun,Awa,Trans-New Guinea
awe,A86,Noun-Genitive,Arrernte (Western),Pama-Nyungan
awi,A86,Genitive-Noun,Aekyom,Awin-Pare
awp,A86,Genitive-Noun,Awa Pit,Barbacoan
awt,A86,Genitive-Noun,Awtuw,Sepik
ayi,A86,Genitive-Noun,Anyi,Niger-Congo
aym,A86,Genitive-Noun,Aymara (Central),Aymaran
ayo,A86,Genitive-Noun,Ayomán,Jirajaran
ayr,A86,Genitive-Noun,Ayoreo,Zamucoan
ayw,A86,Noun-Genitive,Ayiwo,Austronesian
aze,A86,Genitive-Noun,Azerbaijani,Altaic
baa,A86,Genitive-Noun,Barai,Trans-New Guinea
bae,A86,Genitive-Noun,Baré,Arawakan
bag,A86,Noun-Genitive,Bagirmi,Central Sudanic
bai,A86,Genitive-Noun,Bai,Sino-Tibetan
baj,A86,Noun-Genitive,Bajau (Sama),Austronesian
bak,A86,Noun-Genitive,Baka (in Cameroon),Niger-Congo
bam,A86,Genitive-Noun,Bambara,Mande
baq,A86,Noun-Genitive,Baure,Arawakan
bar,A86,Noun-Genitive,Bari,Eastern Sudanic
bas,A86,Noun-Genitive,Basaá,Niger-Congo
baw,A86,Genitive-Noun,Bawm,Sino-Tibetan
bbu,A86,Noun-Genitive,Barambu,Niger-Congo
bbw,A86,Genitive-Noun,Bininj Gun-Wok,Gunwinyguan
bch,A86,Noun-Genitive,Berber (Chaouia),Afro-Asiatic
bco,A86,Noun-Genitive,Bella Coola,Salishan
bdm,A86,Genitive-Noun,Badimaya,Pama-Nyungan
bdu,A86,Noun-Genitive,Budu,Niger-Congo
bej,A86,Genitive-Noun,Beja,Afro-Asiatic
bel,A86,Genitive-Noun,Belhare,Sino-Tibetan
bfg,A86,Noun-Genitive,Berber (Figuig),Afro-Asiatic
bfi,A86,Noun-Genitive,Bafia,Niger-Congo
bga,A86,Noun-Genitive,Benga,Niger-Congo
bgo,A86,Noun-Genitive,Bongo,Central Sudanic
bgr,A86,Noun-Genitive,Bagiro,Central Sudanic
bho,A86,Genitive-Noun,Bhojpuri,Indo-European
bhu,A86,Genitive-Noun,Bhumij,Austro-Asiatic
bid,A86,Noun-Genitive,Bidiya,Afro-Asiatic
bii,A86,Genitive-Noun,Biri,Pama-Nyungan
bik,A86,Genitive-Noun,Biak,Austronesian
bil,A86,Genitive-Noun,Bilua,Solomons East Papuan
bin,A86,Genitive-Noun,Binandere,Trans-New Guinea
bio,A86,Genitive-Noun,Nai,Kwomtari
bir,A86,Noun-Genitive,Birom,Niger-Congo
bka,A86,Noun-Genitive,Baka (in South Sudan),Central Sudanic
bkl,A86,No_dominant_genitive_noun_order,Bikol,Austronesian
bkr,A86,Noun-Genitive,Batak (Karo),Austronesian
bkt,A86,Genitive-Noun,Brokskat,Indo-European
bku,A86,Noun-Genitive,Bakueri,Niger-Congo
bla,A86,Genitive-Noun,Blackfoot,Algic
bln,A86,Genitive-Noun,Bilin,Afro-Asiatic
blr,A86,Noun-Genitive,Belorussian,Indo-European
blx,A86,Genitive-Noun,Biloxi,Siouan
blz,A86,Noun-Genitive,Balanta,Niger-Congo
bma,A86,Noun-Genitive,Berber (Middle Atlas),Afro-Asiatic
bmb,A86,Genitive-Noun,Bimoba,Niger-Congo
bnb,A86,Genitive-Noun,Bunuba,Bunuban
bni,A86,Noun-Genitive,Bini,Niger-Congo
bnk,A86,Noun-Genitive,Bankon,Niger-Congo
bnn,A86,Noun-Genitive,Banoni,Austronesian
bnr,A86,No_dominant_genitive_noun_order,Bilinarra,Pama-Nyungan
bob,A86,Noun-Genitive,Bobangi,Niger-Congo
bod,A86,Genitive-Noun,Bodo,Sino-Tibetan
bok,A86,Genitive-Noun,Boko,Mande
bol,A86,Noun-Genitive,Bolia,Niger-Congo
bon,A86,Genitive-Noun,Bongu,Trans-New Guinea
bra,A86,Noun-Genitive,Brao,Austro-Asiatic
bre,A86,Noun-Genitive,Breton,Indo-European
brf,A86,Noun-Genitive,Berber (Rif),Afro-Asiatic
bri,A86,Genitive-Noun,Bribri,Chibchan
brm,A86,Genitive-Noun,Burmese,Sino-Tibetan
brn,A86,Noun-Genitive,Burunge,Afro-Asiatic
brp,A86,Noun-Genitive,Barupu,Skou
brq,A86,Noun-Genitive,Bera,Niger-Congo
brs,A86,Genitive-Noun,Barasano,Tucanoan
bry,A86,Genitive-Noun,Baruya,Trans-New Guinea
bsk,A86,Genitive-Noun,Bashkir,Altaic
bsr,A86,Noun-Genitive,Basari,Niger-Congo
btk,A86,Noun-Genitive,Bontok,Austronesian
bto,A86,Noun-Genitive,Batak (Toba),Austronesian
bud,A86,Noun-Genitive,Buduma,Afro-Asiatic
bug,A86,Noun-Genitive,Bugis,Austronesian
bul,A86,No_dominant_genitive_noun_order,Bulgarian,Indo-European
bum,A86,Noun-Genitive,Buma,Austronesian
bus,A86,Genitive-Noun,Busa,Mande
but,A86,Genitive-Noun,Buriat,Altaic
buu,A86,Genitive-Noun,Buru,Austronesian
buw,A86,Noun-Genitive,Bulu,Niger-Congo
bvi,A86,Noun-Genitive,Bali-Vitu,Austronesian
bwc,A86,Noun-Genitive,Bajau (West Coast),Austronesian
bya,A86,Genitive-Noun,Byansi,Sino-Tibetan
cah,A86,Genitive-Noun,Cahuilla,Uto-Aztecan
cai,A86,Noun-Genitive,Chai,Eastern Sudanic
cak,A86,Noun-Genitive,Cakchiquel,Mayan
car,A86,Genitive-Noun,Carib,Cariban
cas,A86,Genitive-Noun,Cashibo,Panoan
cav,A86,Genitive-Noun,Cavineña,Tacanan
cax,A86,Genitive-Noun,Campa (Axininca),Arawakan
cay,A86,Genitive-Noun,Cayapa,Barbacoan
cba,A86,Noun-Genitive,Chumash (Barbareño),Chumash
cbo,A86,Genitive-Noun,Chácobo,Panoan
ccm,A86,Noun-Genitive,Chinantec (Comaltepec),Oto-Manguean
