Language_ID,Parameter_ID,Value,Name,Family
abi,49A,No morphological case-marking,Abipón,Guaicuruan
abk,49A,2 cases,Abkhaz,Northwest Caucasian
aco,49A,No morphological case-marking,Acoma,Keresan
aeg,49A,No morphological case-marking,Arabic (Egyptian),Afro-Asiatic
ala,49A,8-9 cases,Alamblak,Sepik
alb,49A,4 cases,Albanian,Indo-European
ale,49A,2 cases,Aleut,Eskimo-Aleut
ame,49A,No morphological case-marking,Amele,Trans-New Guinea
amh,49A,2 cases,Amharic,Afro-Asiatic
amu,49A,Exclusively borderline case-marking,Amuesha,Arawakan
ana,49A,5 cases,Araona,Tacanan
apu,49A,Exclusively borderline case-marking,Apurinã,Arawakan
arb,49A,8-9 cases,Arabela,Zaparoan
arm,49A,5 cases,Armenian (Eastern),Indo-European
arp,49A,No morphological case-marking,Arapesh (Mountain),Torricelli
asm,49A,No morphological case-marking,Asmat,Trans-New Guinea
awp,49A,10 or more cases,Awa Pit,Barbacoan
aym,49A,6-7 cases,Aymara (Central),Aymaran
bag,49A,No morphological case-marking,Bagirmi,Central Sudanic
bam,49A,No morphological case-marking,Bambara,Mande
baw,49A,4 cases,Bawm,Sino-Tibetan
bec,49A,6-7 cases,Bengali (Chittagong),Indo-European
bej,49A,2 cases,Beja,Afro-Asiatic
bkr,49A,No morphological case-marking,Batak (Karo),Austronesian
bma,49A,2 cases,Berber (Middle Atlas),Afro-Asiatic
brh,49A,10 or more cases,Brahui,Dravidian
bri,49A,Exclusively borderline case-marking,Bribri,Chibchan
brm,49A,8-9 cases,Burmese,Sino-Tibetan
brs,49A,2 cases,Barasano,Tucanoan
bul,49A,No morphological case-marking,Bulgarian,Indo-European
cah,49A,5 cases,Cahuilla,Uto-Aztecan
car,49A,No morphological case-marking,Carib,Cariban
cba,49A,No morphological case-marking,Chumash (Barbareño),Chumash
cha,49A,No morphological case-marking,Chamorro,Austronesian
chk,49A,10 or more cases,Chukchi,Chukotko-Kamchatkan
chv,49A,6-7 cases,Chuvash,Altaic
cle,49A,No morphological case-marking,Chinantec (Lealao),Oto-Manguean
cmn,49A,3 cases,Comanche,Uto-Aztecan
cnl,49A,No morphological case-marking,Canela,Macro-Ge
coo,49A,8-9 cases,Coos (Hanis),Oregon Coast
cre,49A,Exclusively borderline case-marking,Cree (Plains),Algic
ctl,49A,No morphological case-marking,Catalan,Indo-European
dag,49A,Exclusively borderline case-marking,Daga,Dagan
dio,49A,No morphological case-marking,Diola-Fogny,Niger-Congo
dni,49A,6-7 cases,Dani (Lower Grand Valley),Trans-New Guinea
don,49A,No morphological case-marking,Dong (Southern),Tai-Kadai
dre,49A,No morphological case-marking,Drehu,Austronesian
dut,49A,No morphological case-marking,Dutch,Indo-European
dyi,49A,6-7 cases,Dyirbal,Pama-Nyungan
eka,49A,Exclusively borderline case-marking,Ekari,Trans-New Guinea
eng,49A,2 cases,English,Indo-European
epe,49A,10 or more cases,Epena Pedee,Choco
est,49A,10 or more cases,Estonian,Uralic
eve,49A,10 or more cases,Evenki,Altaic
ewe,49A,No morphological case-marking,Ewe,Niger-Congo
fij,49A,No morphological case-marking,Fijian,Austronesian
fin,49A,10 or more cases,Finnish,Uralic
fre,49A,No morphological case-marking,French,Indo-European
