Language_ID,Parameter_ID,Value,Name,Family
aab,93A,Not_initial_interrogative_phrase,Arapesh (Abu),Torricelli
abi,93A,Initial_interrogative_phrase,Abipón,Guaicuruan
abk,93A,Not_initial_interrogative_phrase,Abkhaz,Northwest Caucasian
abu,93A,Not_initial_interrogative_phrase,Abun,West Papuan
abv,93A,Not_initial_interrogative_phrase,Abui,Timor-Alor-Pantar
ace,93A,Mixed,Acehnese,Austronesian
acg,93A,Initial_interrogative_phrase,Achagua,Arawakan
acl,93A,Not_initial_interrogative_phrase,Acholi,Eastern Sudanic
acn,93A,Not_initial_interrogative_phrase,Achang,Sino-Tibetan
adg,93A,Not_initial_interrogative_phrase,Adang,Timor-Alor-Pantar
adi,93A,Not_initial_interrogative_phrase,Adioukrou,Niger-Congo
adz,93A,Not_initial_interrogative_phrase,Adzera,Austronesian
aeg,93A,Not_initial_interrogative_phrase,Arabic (Egyptian),Afro-Asiatic
agc,93A,Initial_interrogative_phrase,Agta (Central),Austronesian
agd,93A,Initial_interrogative_phrase,Agta (Dupaningan),Austronesian
akh,93A,Not_initial_interrogative_phrase,Akha,Sino-Tibetan
akn,93A,Not_initial_interrogative_phrase,Akan,Niger-Congo
ala,93A,Not_initial_interrogative_phrase,Alamblak,Sepik
alk,93A,Not_initial_interrogative_phrase,Arop-Lokep,Austronesian
all,93A,Not_initial_interrogative_phrase,Ala'ala,Austronesian
amb,93A,Not_initial_interrogative_phrase,Ambulas,Sepik
ame,93A,Not_initial_interrogative_phrase,Amele,Trans-New Guinea
amh,93A,Not_initial_interrogative_phrase,Amharic,Afro-Asiatic
aml,93A,Not_initial_interrogative_phrase,Ambae (Lolovoli Northeast),Austronesian
amn,93A,Not_initial_interrogative_phrase,Amanab,Border
amq,93A,Not_initial_interrogative_phrase,Ambai,Austronesian
anc,93A,Not_initial_interrogative_phrase,Angas,Afro-Asiatic
ani,93A,Not_initial_interrogative_phrase,//Ani,Khoe-Kwadi
